Pull,Z1_temp,Z2_temp,Z2_Bottom,Z3_temp,Z3_Bottom,Z4_Left temp,Z4_Centre temp,Z4_Right temp,sheet_thickness,Actual_thick_Min. LHS,Actual_thick_Max. LHS,Actual_thick_Min.  Center,Actual_thick_Max. Center,Actual_thick_Min. RHS,Actual_thick_Max. RHS,Roller_speed_Top,Roller_speed_Bottom,Roller_speed_Carriage,Roller_speed_Table,LEHR_SPEED,Pick_up_mark
221.61,1346.00,1252.00,1278.00,1192.00,1226.00,1136.00,1134.00,1143.00,3.20,3.13,3.26,3.02,3.25,3.25,3.32,657.00,657.00,679.00,721.00,740.00,1.59
219.55,1346.00,1252.00,1278.00,1191.00,1225.00,1135.00,1134.00,1142.00,3.20,3.16,3.28,3.04,3.21,3.15,3.33,657.00,657.00,679.00,721.00,740.00,1.35
219.22,1346.00,1253.00,1278.00,1192.00,1226.00,1136.00,1134.00,1143.00,3.20,3.26,3.34,3.03,3.15,3.26,3.30,657.00,657.00,679.00,721.00,740.00,1.42
218.88,1346.00,1253.00,1278.00,1193.00,1227.00,1138.00,1136.00,1145.00,3.20,3.13,3.17,3.02,3.21,3.12,3.15,657.00,657.00,679.00,721.00,740.00,3.11
218.61,1346.00,1252.00,1277.00,1191.00,1224.00,1135.00,1133.00,1141.00,3.20,3.11,3.16,3.05,3.14,3.17,3.20,657.00,657.00,679.00,721.00,740.00,2.12
223.68,1346.00,1253.00,1278.00,1192.00,1226.00,1135.00,1134.00,1142.00,3.20,3.11,3.17,3.04,3.16,3.17,3.16,657.00,657.00,679.00,721.00,740.00,2.64
219.23,1346.00,1254.00,1279.00,1193.00,1226.00,1137.00,1135.00,1143.00,3.20,3.24,3.31,3.05,3.18,3.27,3.35,657.00,657.00,679.00,721.00,740.00,1.34
218.96,1346.00,1253.00,1278.00,1193.00,1226.00,1136.00,1135.00,1143.00,3.20,3.17,3.22,3.06,3.16,3.16,3.21,657.00,657.00,679.00,721.00,740.00,2.79
219.91,1346.00,1253.00,1278.00,1193.00,1226.00,1137.00,1136.00,1144.00,3.20,3.25,3.32,3.05,3.23,3.24,3.32,657.00,657.00,679.00,721.00,740.00,2.21
220.74,1346.00,1254.00,1278.00,1193.00,1226.00,1136.00,1134.00,1142.00,3.20,3.12,3.23,3.09,3.24,3.15,3.21,657.00,657.00,679.00,721.00,740.00,2.26
